Date;19879 - Household debt service ratio - Principal - Seasonally adjusted data - %;19880 - Household debt service ratio - Interest - Seasonally adjusted data - %;19881 - Household debt service ratio - Seasonally adjusted data - %;19882 - Household debt - %;20399 - Household debt service ratio without mortgage loans - Seasonally adjusted data - %;20400 - Household debt without mortgage loans - %
01/2005;-;-;-;18.42 ;-;15.31
02/2005;-;-;-;18.79 ;-;15.71
03/2005;11.04 ;4.78 ;15.82 ;19.34 ;15.44 ;16.24
04/2005;11.16 ;4.85 ;16.01 ;19.74 ;15.58 ;16.65
05/2005;11.34 ;4.97 ;16.31 ;20.13 ;15.89 ;17.04
06/2005;11.37 ;5.03 ;16.40 ;20.30 ;16.00 ;17.21
07/2005;11.44 ;5.11 ;16.55 ;20.57 ;16.14 ;17.48
08/2005;11.40 ;5.22 ;16.62 ;21.05 ;16.22 ;17.94
09/2005;11.84 ;5.45 ;17.29 ;21.37 ;16.81 ;18.25
10/2005;12.06 ;5.58 ;17.64 ;21.66 ;17.22 ;18.52
11/2005;12.09 ;5.55 ;17.64 ;21.90 ;17.23 ;18.76
12/2005;11.85 ;5.57 ;17.42 ;21.74 ;16.99 ;18.58
01/2006;11.81 ;5.61 ;17.42 ;22.24 ;16.99 ;19.04
02/2006;11.94 ;5.68 ;17.62 ;22.49 ;17.18 ;19.30
03/2006;12.31 ;5.79 ;18.10 ;22.93 ;17.65 ;19.68
04/2006;12.43 ;5.85 ;18.28 ;23.28 ;17.83 ;20.00
05/2006;12.42 ;5.87 ;18.29 ;23.55 ;17.84 ;20.24
06/2006;12.40 ;5.88 ;18.28 ;23.70 ;17.83 ;20.33
07/2006;12.33 ;5.90 ;18.23 ;23.94 ;17.77 ;20.53
08/2006;12.31 ;5.98 ;18.29 ;24.24 ;17.83 ;20.81
09/2006;12.26 ;5.93 ;18.19 ;24.30 ;17.70 ;20.88
10/2006;12.26 ;5.93 ;18.19 ;24.42 ;17.73 ;20.96
11/2006;12.12 ;5.84 ;17.96 ;24.64 ;17.51 ;21.16
12/2006;12.17 ;6.03 ;18.20 ;24.61 ;17.74 ;21.10
01/2007;12.02 ;6.06 ;18.08 ;25.08 ;17.62 ;21.49
02/2007;11.94 ;6.09 ;18.03 ;25.41 ;17.55 ;21.81
03/2007;11.71 ;6.02 ;17.73 ;25.75 ;17.27 ;22.10
04/2007;11.66 ;6.02 ;17.68 ;26.21 ;17.21 ;22.51
05/2007;11.59 ;6.06 ;17.65 ;26.79 ;17.17 ;23.03
06/2007;11.66 ;6.12 ;17.78 ;26.95 ;17.31 ;23.15
07/2007;11.74 ;6.18 ;17.92 ;27.38 ;17.44 ;23.55
08/2007;11.80 ;6.25 ;18.05 ;27.78 ;17.57 ;23.89
09/2007;11.83 ;6.25 ;18.08 ;28.05 ;17.57 ;24.11
10/2007;11.83 ;6.25 ;18.08 ;28.77 ;17.60 ;24.78
11/2007;11.87 ;6.24 ;18.11 ;29.32 ;17.62 ;25.28
12/2007;11.75 ;6.24 ;17.99 ;29.25 ;17.50 ;25.14
01/2008;11.70 ;6.29 ;17.99 ;29.72 ;17.49 ;25.60
02/2008;11.67 ;6.34 ;18.01 ;30.13 ;17.49 ;25.97
03/2008;11.81 ;6.50 ;18.31 ;30.57 ;17.85 ;26.33
04/2008;11.83 ;6.50 ;18.33 ;31.01 ;17.76 ;26.70
05/2008;11.62 ;6.50 ;18.12 ;31.41 ;17.60 ;27.03
06/2008;11.51 ;6.54 ;18.05 ;31.63 ;17.53 ;27.16
07/2008;11.46 ;6.60 ;18.06 ;31.97 ;17.54 ;27.42
08/2008;11.41 ;6.67 ;18.08 ;32.07 ;17.55 ;27.43
09/2008;11.43 ;6.77 ;18.20 ;32.38 ;17.65 ;27.62
10/2008;11.40 ;6.93 ;18.33 ;33.12 ;17.77 ;28.28
11/2008;11.43 ;7.05 ;18.48 ;32.86 ;17.90 ;27.93
12/2008;11.49 ;7.15 ;18.64 ;32.52 ;18.04 ;27.52
01/2009;11.55 ;7.17 ;18.72 ;32.48 ;18.12 ;27.43
02/2009;11.61 ;7.21 ;18.82 ;32.82 ;18.21 ;27.71
03/2009;11.70 ;7.29 ;18.99 ;33.17 ;18.39 ;27.97
04/2009;11.75 ;7.29 ;19.04 ;33.32 ;18.44 ;28.03
05/2009;11.85 ;7.31 ;19.16 ;33.56 ;18.55 ;28.17
06/2009;11.95 ;7.28 ;19.23 ;33.75 ;18.63 ;28.21
07/2009;11.94 ;7.29 ;19.23 ;33.97 ;18.61 ;28.27
08/2009;11.87 ;7.30 ;19.17 ;34.30 ;18.54 ;28.43
09/2009;11.85 ;7.31 ;19.16 ;34.69 ;18.51 ;28.65
